trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.01, 'e': 0.24990487239840314}",30,0,-238.29893718670976,"{0: 9, 1: 10, 2: 8, 3: 0, 4: 3}",0
104,False,"{'a': 0.01, 'e': 0.2474182773711461}",20,0,-181.48176009002657,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
105,False,"{'a': 0.01, 'e': 0.2449564243778087}",25,0,-363.6511665286174,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 8}",0
106,False,"{'a': 0.01, 'e': 0.24251906723104016}",20,0,-163.27295932846548,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
107,False,"{'a': 0.01, 'e': 0.24010596219309463}",20,0,-140.94090495729094,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.23771686795145736}",20,0,-251.11367803856632,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 5}",0
109,False,"{'a': 0.01, 'e': 0.23535154559471327}",25,0,-187.76939641757676,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
110,False,"{'a': 0.01, 'e': 0.23300975858865566}",30,0,-499.5884507083902,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 11}",0
111,False,"{'a': 0.01, 'e': 0.23069127275263232}",20,0,-157.42051109243354,"{0: 5, 1: 4, 2: 10, 3: 0, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.2283958562361276}",30,0,-350.85946071931403,"{0: 7, 1: 0, 2: 18, 3: 1, 4: 4}",0
113,False,"{'a': 0.01, 'e': 0.226123279495577}",25,0,-194.41444631310173,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
114,False,"{'a': 0.01, 'e': 0.22387331527141266}",25,0,-248.64344251126977,"{0: 9, 1: 1, 2: 11, 3: 1, 4: 3}",0
115,False,"{'a': 0.01, 'e': 0.2216457385653372}",25,0,-145.8524528058534,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.2194403266178237}",20,0,-168.28449242259418,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
117,False,"{'a': 0.01, 'e': 0.2172568588858395}",35,0,-285.96459332443465,"{0: 15, 1: 5, 2: 11, 3: 0, 4: 4}",0
118,False,"{'a': 0.01, 'e': 0.21509511702079187}",30,0,-282.4852955874062,"{0: 9, 1: 1, 2: 17, 3: 0, 4: 3}",0
119,False,"{'a': 0.01, 'e': 0.21295488484669284}",30,0,-256.3199279986432,"{0: 11, 1: 4, 2: 11, 3: 1, 4: 3}",0
120,False,"{'a': 0.01, 'e': 0.2108359483385415}",30,0,-330.7671565495015,"{0: 10, 1: 8, 2: 6, 3: 0, 4: 6}",0
121,False,"{'a': 0.01, 'e': 0.20873809560092116}",25,0,-179.44070309625275,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
122,False,"{'a': 0.01, 'e': 0.20666111684680993}",20,0,-120.69828859775951,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.20460480437660158}",25,0,-124.9937985289805,"{0: 11, 1: 4, 2: 8, 3: 2, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.20256895255733542}",35,0,-230.63414626736554,"{0: 18, 1: 4, 2: 9, 3: 1, 4: 3}",0
125,False,"{'a': 0.01, 'e': 0.20055335780213304}",20,0,-140.2222886401595,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
126,False,"{'a': 0.01, 'e': 0.19855781854983925}",25,0,-315.7251657979946,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 6}",0
127,False,"{'a': 0.01, 'e': 0.19658213524486584}",25,0,-304.73515735004963,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 5}",0
128,False,"{'a': 0.01, 'e': 0.1946261103172359}",25,0,-161.0782394655394,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
129,False,"{'a': 0.01, 'e': 0.19268954816282663}",25,0,-246.7473470557982,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
130,False,"{'a': 0.01, 'e': 0.1907722551238088}",30,0,-271.4160779558991,"{0: 13, 1: 3, 2: 9, 3: 1, 4: 4}",0
131,False,"{'a': 0.01, 'e': 0.18887403946928075}",20,0,-152.08036284799073,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
132,False,"{'a': 0.01, 'e': 0.18699471137609522}",25,0,-196.70973646146953,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
133,False,"{'a': 0.01, 'e': 0.18513408290987676}",20,0,-171.76119095628647,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
134,False,"{'a': 0.01, 'e': 0.18329196800622818}",25,0,-238.94389535523754,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 5}",0
135,False,"{'a': 0.01, 'e': 0.18146818245212404}",30,0,-247.5241332904788,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
136,False,"{'a': 0.01, 'e': 0.17966254386748912}",20,0,-169.938700573912,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
137,False,"{'a': 0.01, 'e': 0.17787487168696017}",30,0,-290.24283141590394,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 5}",0
138,False,"{'a': 0.01, 'e': 0.1761049871418295}",25,0,-173.9195043394071,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
139,False,"{'a': 0.01, 'e': 0.1743527132421677}",25,0,-212.28734450601823,"{0: 8, 1: 2, 2: 13, 3: 0, 4: 2}",0
140,False,"{'a': 0.01, 'e': 0.1726178747591245}",20,0,-183.3741849767898,"{0: 7, 1: 1, 2: 9, 3: 1, 4: 2}",0
141,False,"{'a': 0.01, 'e': 0.17090029820740596}",20,0,-350.1199021140344,"{0: 5, 1: 1, 2: 7, 3: 0, 4: 7}",0
142,False,"{'a': 0.01, 'e': 0.1691998118279255}",25,0,-180.1606927961966,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
143,False,"{'a': 0.01, 'e': 0.16751624557062816}",20,0,-128.102682892052,"{0: 6, 1: 5, 2: 7, 3: 2, 4: 0}",0
144,False,"{'a': 0.01, 'e': 0.16584943107748523}",30,0,-382.67132139537614,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 7}",0
